"filename", "language", "Python", "MS SQL", "Markdown", "Shell Script", "JSON", "XML", "YAML", "JavaScript", "TypeScript JSX", "TypeScript", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"/Users/wendyzhong/Desktop/van_art_cinema_guide/backend/package-lock.json", "JSON", 0, 0, 0, 0, 1669, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1670
"/Users/wendyzhong/Desktop/van_art_cinema_guide/backend/package.json", "JSON", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"/Users/wendyzhong/Desktop/van_art_cinema_guide/backend/src/controllers/authController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 4, 12, 98
"/Users/wendyzhong/Desktop/van_art_cinema_guide/backend/src/controllers/watchlistController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 41
"/Users/wendyzhong/Desktop/van_art_cinema_guide/backend/src/db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"/Users/wendyzhong/Desktop/van_art_cinema_guide/backend/src/middleware/auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 18, 4, 69
"/Users/wendyzhong/Desktop/van_art_cinema_guide/backend/src/models/films.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 3, 63
"/Users/wendyzhong/Desktop/van_art_cinema_guide/backend/src/models/screenings.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 5, 10, 101
"/Users/wendyzhong/Desktop/van_art_cinema_guide/backend/src/models/userModel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 1, 11, 104
"/Users/wendyzhong/Desktop/van_art_cinema_guide/backend/src/models/watchlistModel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 4, 52
